beta,gamma,alpha,l
0.051975080549893055,0.017800942581935132,0.2613186145102383,0.8066219861910608
0.04662022483274271,0.01787051651084376,0.9621091883405385,0.5757199717993662
0.0495012722466609,0.012771146559871577,0.15094004059690114,0.7444183254316452
0.051476719021003974,0.016190995535863464,0.1814907883737641,0.9542415155660968
0.05370043273750727,0.019988208874991115,0.22225320476612576,0.9800663413654693
0.04930242898922008,0.01753157918563017,0.43599930275578913,0.6957299155490686
0.046719046906881785,0.01705682346512487,0.6706587411628486,0.6059483055504591
0.04887369797842854,0.01927841977766521,0.8119554171697045,0.6548038058933378
0.042843426415236946,0.007689168036733515,0.47150187253392484,0.25454331152187293
0.046221305922451626,0.016288988884499433,0.8947322763243877,0.458671996862699
0.04315876794747799,0.012660488560674057,0.8234004858170146,0.35220959814700414
0.05144858521138682,0.02272705224835928,0.6528005649209873,0.866586727423135
0.052292092586608434,0.022831055367280455,0.7304508310271438,0.8217560534461575
0.04146343291137528,0.009753449949951441,0.6267020759428171,0.2900297170015598
0.051761146251518224,0.02365210082365037,0.9759423913551111,0.7548596075801769
0.048944953289886406,0.012966573154765577,0.21712817124735695,0.6010662271392073
0.05354822074404337,0.022327951601864876,0.3445863668710779,0.8970070778406466
0.05601769116878272,0.027926783195773148,0.8866993459186351,0.9317403934615535
0.054312511920424515,0.025627062766787473,0.8560206065378276,0.8295512097138728
0.042012217787923724,0.012061694716385268,0.8966939813224818,0.37318362785395875
0.054708841533817325,0.02679078763044445,0.8374667981039761,0.9210815752907693
0.05066536318347449,0.02122731454373216,0.6855046369789485,0.7895467824432174
0.05213765448267746,0.019853105250526422,0.2600494419398134,0.8966434130401806
0.04921239320670647,0.01878651248744809,0.6276240201067993,0.57390814347324
0.05424359824001545,0.02644903389796072,0.8027939902803217,0.9929680267143979
0.050767455421313654,0.017798052348495547,0.33905119539550077,0.673471423847845
0.055146933277522354,0.023935060523823243,0.3864417152102688,0.9221206662287426
0.056211336703934175,0.02495578747831128,0.41727053431619465,0.9691576832730677
0.05582110410844684,0.027725539696397523,0.9003050678083289,0.9192247957491049
0.05295048027055215,0.019650513237791517,0.2854999975906751,0.835539560727645
0.05064959608025688,0.013427718638059864,0.1547836519139726,0.8257296963439271
0.04406077351358681,0.012564850905106343,0.706139706985401,0.4056721816396124
0.04675882234436468,0.01665434317509802,0.534353432995471,0.635612125942399
0.05262501822263367,0.023098835425415087,0.7839468000020066,0.7738068690610896
0.042513622314219617,0.007149579158352664,0.3830344056635183,0.2852837407450993
0.05680163321741135,0.02788196577580389,0.7563394200649615,0.9561077076006422
0.04882464170550998,0.020381849328995456,0.9711158977626124,0.6321307108540359
0.05129469943337083,0.020475925550743165,0.5972023509943315,0.6616293840096161
0.050746259444712435,0.016467010180374116,0.2822862047057254,0.6870260575594107
0.052499128723405536,0.019966644300845673,0.38082468611551956,0.773467155736419
0.05291632871368819,0.02066070811640682,0.3937458168075757,0.7809199282559843
0.05452632960162095,0.024057830003347234,0.5388452205431464,0.922657750528457
0.04924966408379081,0.020716043896201908,0.9422687362588674,0.7188849788308065
0.05141472380788666,0.021584037423282243,0.4224383673164649,0.9772172841422752
0.05148435488991694,0.02242690428230917,0.7755412857965474,0.8195450039581428
0.05228811284204563,0.018637105750185443,0.29933156259692983,0.7892456391977543
0.05720832240977849,0.028762645506397348,0.8120459272566486,0.9745689039781983
0.051432961442498225,0.023251487718738306,0.8191165162715223,0.8451421350158127
0.05396627137083484,0.02365516696787425,0.3836317239820286,0.943882176037424
0.051109700267726044,0.01755029229365803,0.32151297439611703,0.7338660508892748
0.052854617309080906,0.025114558978385736,0.9372743762133291,0.9243896315372759
0.05308785296664309,0.02095353707264494,0.323951816257241,0.8368607532414485
0.04953855841785926,0.018162992338523382,0.4497575670688869,0.6094784179905627
0.05531317454862497,0.026614903552785393,0.8633607840513599,0.9404522117852664
0.05107368724994433,0.020166876342496504,0.6071023158974518,0.6758132431335466
0.046889346637153724,0.016772312433000643,0.6021725806306469,0.6230028750405894
0.05132480006482087,0.0195967956176252,0.28779550521862707,0.8474258061942427
0.05521071787934242,0.02453427741453408,0.42315210928021574,0.9150612460313994
0.047268544289748304,0.016286326732104155,0.7124610298349432,0.4753321927066738
0.04784327322178324,0.00983456454382161,0.20492268822205884,0.470272193832328
0.04687096547967862,0.0168364133386608,0.6660369264981907,0.5126105988104195
0.05078828286960347,0.02102211536366075,0.4375019590319864,0.9296330426208272
0.05188301125206526,0.022209792189468308,0.43591989366925854,0.8863120883403838
0.047664263627240806,0.012484504324466322,0.3083513759920796,0.501882776428533
0.04219039641136749,0.011020584374856004,0.9078231590006339,0.3349667895471361
0.05351243635686572,0.01873673056868741,0.21796723951546182,0.9576789878060138
0.05088103141732065,0.022260948852879898,0.8054178421399407,0.8203065599037835
